City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Airai,TL,2022-09-25 18:57:44,-8.9266,125.4092,58.15,70,8,2.17
94,Nyurba,RU,2022-09-25 18:57:44,63.2842,118.3319,25.09,97,80,5.95
95,Hokitika,NZ,2022-09-25 18:57:45,-42.7167,170.9667,52.63,85,100,3.49
96,Ribeira Grande,PT,2022-09-25 18:57:45,38.5167,-28.7,72.0,83,40,16.11
97,Chapleau,CA,2022-09-25 18:57:45,47.8405,-83.4034,55.49,71,75,2.3
98,Yar-Sale,RU,2022-09-25 18:57:46,66.8333,70.8333,28.45,90,15,12.01
99,Kahului,US,2022-09-25 18:57:46,20.8947,-156.47,83.97,73,14,10.0
100,Bethel,US,2022-09-25 18:55:25,41.3712,-73.414,73.53,72,100,1.99
101,Tuktoyaktuk,CA,2022-09-25 18:57:46,69.4541,-133.0374,32.0,80,100,10.36
102,Lorengau,PG,2022-09-25 18:57:47,-2.0226,147.2712,81.64,71,71,10.31
103,Acari,PE,2022-09-25 18:57:47,-15.4311,-74.6158,75.06,50,24,10.6
104,Hirara,JP,2022-09-25 18:57:47,24.8,125.2833,82.22,81,21,13.44
105,Camacha,PT,2022-09-25 18:57:48,33.0833,-16.3333,69.22,60,20,12.66
106,Victoria,HK,2022-09-25 18:54:00,22.2855,114.1577,83.32,79,28,8.01
107,Saint Anthony,US,2022-09-25 18:57:48,45.0205,-93.218,70.14,47,40,23.02
108,Adrar,MR,2022-09-25 18:57:48,20.5022,-10.0711,98.22,22,50,5.75
109,Nome,US,2022-09-25 18:57:49,64.5011,-165.4064,46.17,86,100,9.62
110,Felanitx,ES,2022-09-25 18:57:49,39.4696,3.1483,70.32,80,100,15.73
111,Ilulissat,GL,2022-09-25 18:57:49,69.2167,-51.1,33.17,73,100,10.98
112,Vaini,TO,2022-09-25 18:57:50,-21.2,-175.2,69.96,100,75,4.61
113,Tabas,IR,2022-09-25 18:57:50,33.5959,56.9244,85.26,12,0,5.73
114,Nantucket,US,2022-09-25 18:57:50,41.2835,-70.0995,70.0,57,100,16.6
115,Laguna,US,2022-09-25 18:57:50,38.421,-121.4238,91.63,45,0,1.99
116,Severo-Kurilsk,RU,2022-09-25 18:57:51,50.6789,156.125,50.54,92,100,22.62
117,Taoudenni,ML,2022-09-25 18:57:51,22.6783,-3.9836,103.55,10,100,2.35
118,Ngunguru,NZ,2022-09-25 18:57:51,-35.6167,174.5,58.75,84,19,20.02
119,Dawlatabad,AF,2022-09-25 18:57:52,36.4141,64.9053,71.56,18,0,1.57
120,Port Alfred,ZA,2022-09-25 18:57:52,-33.5906,26.891,61.18,75,95,1.99
121,Bathsheba,BB,2022-09-25 18:57:52,13.2167,-59.5167,86.61,74,40,16.11
122,Acapulco,MX,2022-09-25 18:57:53,16.8634,-99.8901,84.07,74,94,3.56
123,Ahipara,NZ,2022-09-25 18:57:53,-35.1667,173.1667,57.58,87,99,10.07
124,Mandera,KE,2022-09-25 18:57:53,3.9366,41.867,84.36,42,70,2.37
125,Vila Velha,BR,2022-09-25 18:53:05,-20.3297,-40.2925,73.35,82,100,9.22
126,Mount Gambier,AU,2022-09-25 18:57:54,-37.8333,140.7667,48.47,98,100,3.06
127,Castro,BR,2022-09-25 18:57:54,-24.7911,-50.0119,64.89,55,100,7.31
128,Adre,TD,2022-09-25 18:57:54,13.4667,22.2,79.65,48,100,9.42
129,Cherskiy,RU,2022-09-25 18:57:55,68.75,161.3,26.04,82,91,3.69
130,Voh,NC,2022-09-25 18:57:55,-20.9667,164.7,69.24,93,1,3.13
131,Yellowknife,CA,2022-09-25 18:55:19,62.456,-114.3525,46.92,66,75,13.8
132,Athabasca,CA,2022-09-25 18:57:55,54.7169,-113.2854,59.41,31,100,14.43
133,Alice Springs,AU,2022-09-25 18:57:56,-23.7,133.8833,72.21,24,75,10.36
134,Narsaq,GL,2022-09-25 18:57:56,60.9167,-46.05,53.28,80,63,5.97
135,Vila Franca Do Campo,PT,2022-09-25 18:57:56,37.7167,-25.4333,74.19,75,46,13.8
136,Kirakira,SB,2022-09-25 18:58:57,-10.4544,161.9205,77.41,82,84,2.73
137,Bosaso,SO,2022-09-25 18:58:57,11.2842,49.1816,88.05,52,4,1.88
138,Evensk,RU,2022-09-25 18:58:57,61.95,159.2333,37.6,66,100,23.76
139,Ponta Do Sol,PT,2022-09-25 18:58:57,32.6667,-17.1,72.23,78,49,9.84
140,Malanje,AO,2022-09-25 18:58:58,-9.5402,16.341,71.62,69,88,3.2
141,Nabire,ID,2022-09-25 18:55:06,-3.3667,135.4833,74.53,91,99,3.38
142,Marijampole,LT,2022-09-25 18:58:58,54.5667,23.35,49.68,72,97,4.03
143,Anadyr,RU,2022-09-25 18:58:58,64.75,177.4833,23.5,86,0,6.71
144,Santa Marta,CO,2022-09-25 18:58:59,11.2408,-74.199,87.89,68,40,8.05
145,Kanevskaya,RU,2022-09-25 18:58:59,46.0849,38.9596,55.8,66,8,9.73
146,Haines Junction,CA,2022-09-25 18:58:59,60.7522,-137.5108,44.55,76,100,3.44
147,Doha,QA,2022-09-25 18:59:00,25.2867,51.5333,91.38,66,0,9.22
148,Acobamba,PE,2022-09-25 18:59:00,-11.3525,-75.6594,62.31,60,88,8.81
149,Maniitsoq,GL,2022-09-25 18:59:00,65.4167,-52.9,44.15,60,100,3.33
150,Fukue,JP,2022-09-25 18:59:01,32.6881,128.8419,74.3,76,93,4.03
151,Luderitz,NA,2022-09-25 18:59:01,-26.6481,15.1594,55.76,79,87,0.63
152,Dzaoudzi,YT,2022-09-25 18:59:01,-12.7887,45.2699,76.89,78,0,3.44
153,Bulgan,MN,2022-09-25 18:59:02,48.8125,103.5347,45.32,49,32,3.94
154,Liverpool,GB,2022-09-25 18:57:24,53.4106,-2.9779,56.7,77,75,14.97
155,Log,RU,2022-09-25 18:59:02,49.4844,43.8613,49.23,77,96,8.81
156,Muros,ES,2022-09-25 18:59:03,42.7762,-9.0603,63.09,71,0,16.35
157,Traverse City,US,2022-09-25 18:54:48,44.7631,-85.6206,61.0,81,97,14.79
158,Rocha,UY,2022-09-25 18:59:03,-34.4833,-54.3333,63.79,48,93,13.0
159,Katsuura,JP,2022-09-25 18:59:04,35.1333,140.3,69.82,83,44,7.96
160,Vallenar,CL,2022-09-25 18:59:04,-28.5708,-70.7581,74.64,22,84,11.54
161,Neman,RU,2022-09-25 18:59:05,55.0311,22.0264,48.81,79,98,4.16
162,Fairbanks,US,2022-09-25 18:56:15,64.8378,-147.7164,44.82,84,99,2.71
163,Honningsvag,NO,2022-09-25 18:59:05,70.9821,25.9704,51.55,62,20,24.16
164,Avarua,CK,2022-09-25 18:59:05,-21.2078,-159.775,77.05,73,20,16.11
165,Santa Cruz Del Sur,CU,2022-09-25 18:59:06,20.7147,-77.9956,85.42,66,100,6.33
166,Flinders,AU,2022-09-25 18:59:06,-34.5833,150.8552,49.24,87,56,1.99
167,Vung Tau,VN,2022-09-25 18:59:06,10.346,107.0843,78.85,87,100,8.3
168,Batagay-Alyta,RU,2022-09-25 18:59:07,67.8006,130.4114,26.58,95,100,3.87
